Start Date;11.09.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End Date;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SPXT Index;S5INFT Index;S5TELS Index;S5CONS Index;S5COND Index;S5ENRS Index;S5FINL Index;S5HLTH Index;S5INDU Index;S5MATR Index;S5RLST Index;S5UTIL Index;GB03 Govt;S5SFTW Index;S5TECH Index;S5MEDA Index;S5SSEQX Index;S5DIVF Index;S5PHRM Index;S5RETL Index;S5CPGS Index;S5HCES Index;S5ENRSX Index;S5FDBT Index;S5BANKX Index;S5MATRX Index;S5UTILX Index;S5REAL Index;S5INSU Index;S5HOTR Index;S5AUCO Index;S5FDSR Index;S5HOUS Index;S5TRAN Index;S5COMS Index;S5CODU Index;S5TELSX Index
;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
Dates;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;PX_Last;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS
#NAME?;369.55;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
12.09.89;370.68;73.52;88.52;57.85;77.3302;83.84;80.61;66.29;75.64;80.09;#N/A N/A;95.71;7.842;50.29;77.95;82.48;27.87;69.197;63.73;68.15;69.53;77.34;83.84;58.86;89.89;80.09;95.71;#N/A N/A;77.33;73.39;90.29;74.36;49.3;91.06;94.58;79.64;88.52
13.09.89;367.25;72.91;88.16;57.16;76.3118;83.16;79.78;65.81;74.9;79.4;#N/A N/A;95.18;7.777;50.64;77.19;81.23;28.13;67.9886;63.19;67.32;68.82;77.4;83.16;58.17;89.02;79.4;95.18;#N/A N/A;76.77;72.88;88.91;73.7;48.58;90.23;93.76;78.69;88.16
14.09.89;364.83;72.68;88.35;56.95;75.5309;82.2;79.06;65.23;74.37;78.88;#N/A N/A;94.99;7.807;50.17;76.99;80.1;27.81;67.4682;62.65;66.63;68.52;76.56;82.2;58.06;87.79;78.88;94.99;#N/A N/A;76.51;72.25;88.34;73.1;48.18;88.63;92.9;77.93;88.35
15.09.89;366.86;73.04;89.45;57.01;75.6598;82.67;79.7;65.7;74.9;79.11;#N/A N/A;95.7;7.781;50.89;77.31;80.18;28.15;68.4638;63.17;66.88;69.15;76.57;82.67;58.13;88.18;79.11;95.7;#N/A N/A;77.22;71.71;88.92;73.51;48.11;88.97;93.01;77.66;89.45
18.09.89;368.65;72.92;90.64;57.28;75.8749;83.41;80.11;66.16;75.16;79.2;#N/A N/A;95.87;7.843;50.92;77.16;80.72;27.7;69.2968;63.63;66.99;69.39;76.94;83.41;58.33;88.74;79.2;95.87;#N/A N/A;77.2;72.97;88.66;73.63;48.66;89.22;93.34;77.61;90.64
19.09.89;368.62;72.46;91.28;57.54;75.9463;83.02;79.69;66.17;75.09;79.06;#N/A N/A;95.79;7.99;50.19;76.73;81.14;27.6;68.8202;63.67;67.19;69.19;76.76;83.02;58.64;88.15;79.06;95.79;#N/A N/A;77.01;72.65;88.06;73.43;48.89;89.53;93.74;77.81;91.28
20.09.89;368.54;72.71;91.19;57.44;75.6241;82.94;79.89;66.36;74.96;79.23;#N/A N/A;96.17;8.083;50.36;77;80.93;27.93;68.9049;63.84;67.03;68.94;77.05;82.94;58.43;88.62;79.23;96.17;#N/A N/A;76.98;72.61;86.77;73.24;49.19;89.74;94.06;77.9;91.19
21.09.89;367.78;72.84;91.17;57.13;75.3951;82.85;80;66.08;74.79;78.82;#N/A N/A;95.86;8.102;50.76;77.1;80.75;27.93;68.9044;63.55;66.77;68.55;76.85;82.85;58.1;88.96;78.82;95.86;#N/A N/A;76.88;72.22;86.32;72.93;48.92;90.07;94.82;77.99;91.17
